GRB,seed,ra_max,dec_max,max_sigma,region_size_deg
GRB150101641,65,187.82226562499997,-10.844900729704278,2.224389661084442,0.5
GRB150101641,121,188.4814453125,-11.034862721522956,0.5732832179962212,0.5
GRB150101641,125,188.3935546875,-11.110881800003284,1.1786604139230135,0.5
GRB150101641,12,187.6904296875,-10.806922874860348,1.0957328871024399,0.5
GRB150101641,5,188.1298828125,-11.110881800003284,2.8195869724362854,0.5
GRB150101641,87,187.91015624999997,-10.465336172372773,2.2307935672470727,0.5
GRB150101641,7,187.8662109375,-11.262979546038238,2.48012575282855,0.5
GRB150101641,9,187.82226562499997,-11.377105585610948,3.134418476490564,0.5
GRB150101641,117,188.4814453125,-10.806922874860348,2.383590588569012,0.5
GRB150101641,79,187.6904296875,-10.730981560440028,2.0502986019084526,0.5
GRB150101641,81,187.95410156249997,-10.65505931650236,2.510265502342083,0.5
GRB150101641,14,187.55859375,-10.844900729704278,1.9043253403673759,0.5
GRB150101641,10,187.8662109375,-11.186920691664895,1.6272815429192617,0.5
GRB150101641,11,187.55859375,-10.768949824604306,0.6748826599801431,0.5
GRB150101641,92,187.77832031249997,-11.33905851299086,0.9132354122812342,0.5
GRB150101641,100,187.734375,-10.844900729704278,2.512066598367303,0.5
GRB150101641,123,188.4375,-10.844900729704278,2.3446906807280725,0.5
GRB150101641,56,188.0419921875,-11.034862721522956,1.4847634013563522,0.5
GRB150101641,78,188.173828125,-10.541211385029001,0.9840119992986481,0.5
GRB150101641,69,188.4375,-10.844900729704278,1.3027733276090518,0.5
GRB150101641,99,187.646484375,-10.617105299836624,1.568229203246109,0.5
GRB150101641,2,188.08593749999997,-10.996860565588975,0.45426975432313954,0.5
GRB150101641,59,187.998046875,-10.996860565588975,2.1651865100742858,0.5
GRB150101641,102,187.734375,-10.541211385029001,3.2926313875285578,0.5
GRB150101641,108,187.6904296875,-11.262979546038238,1.0877609954158822,0.5
GRB150101641,104,187.95410156249997,-10.579155995477763,1.429444155671308,0.5
GRB150101641,73,188.1298828125,-11.4151577427305,1.683335600262817,0.5
GRB150101641,96,188.173828125,-10.996860565588975,1.5018778367209387,0.5
GRB150101641,95,188.26171875,-10.844900729704278,0.4618077026902056,0.5
GRB150101641,118,188.3935546875,-10.730981560440028,1.1117167708269635,0.5
GRB150101641,86,187.8662109375,-11.4151577427305,1.2054385452061946,0.5
